sample_id,model,language,mean_sim
666,water,ru,0.9741100072860718
677,earth,de,0.9999997019767761
677,fire,de,0.9572636485099792
677,global,de,1.000000238418579
677,water,de,0.9999997019767761
679,earth,en,0.7764979600906372
679,fire,en,0.7341286540031433
679,global,en,0.6966293454170227
679,water,en,0.7356110215187073
684,earth,de,0.8119336366653442
684,fire,de,0.9878489375114441
684,global,de,0.7205661535263062
684,water,de,0.9999998807907104
686,earth,zh,0.705163300037384
686,fire,zh,0.8288918733596802
686,global,zh,0.9423583149909973
686,water,zh,0.7251230478286743
690,earth,th,0.8600150346755981
690,fire,th,0.9440475702285767
690,global,th,0.9116918444633484
690,water,th,0.763798177242279
691,earth,ru,0.9996474385261536
691,fire,ru,0.9906753301620483
691,global,ru,0.999647319316864
691,water,ru,0.9999998807907104
698,earth,th,0.8701587915420532
698,fire,th,0.9273314476013184
698,global,th,0.8902537226676941
698,water,th,0.870648980140686
700,earth,ru,0.9756631851196289
700,fire,ru,0.8100660443305969
700,global,ru,0.6229311227798462
700,water,ru,0.8751127123832703
702,earth,de,0.750151515007019
702,earth,zh,0.7342572808265686
702,fire,de,0.8034113645553589
702,fire,zh,0.8274887800216675
702,global,de,0.8546835780143738
702,global,zh,0.9230315089225769
702,water,de,0.692036509513855
702,water,zh,0.8107995986938477
703,earth,de,0.651139497756958
703,fire,de,0.6735892295837402
703,global,de,0.6475828289985657
703,water,de,0.760502815246582
709,earth,en,0.8783695101737976
709,fire,en,0.8156219720840454
709,global,en,0.8552926182746887
722,earth,en,0.9662104845046997
722,fire,en,0.9973496198654175
722,global,en,0.9954507946968079
722,water,en,0.9660040140151978
734,earth,ar,0.6058602929115295
734,fire,ar,0.5723322033882141
734,global,ar,0.805850625038147
734,water,ar,0.5884588956832886
735,earth,th,0.9705494046211243
735,fire,th,0.9740098714828491
735,global,th,0.8262991905212402
735,water,th,0.9813604354858398
744,earth,ar,0.9999997019767761
744,fire,ar,0.9999997019767761
744,global,ar,0.9999997019767761
744,water,ar,0.9999997019767761
747,earth,de,0.521061360836029
747,fire,de,0.6449404954910278
747,global,de,0.9615113139152527
747,water,de,0.5294793248176575
748,earth,th,0.8281359672546387
748,fire,th,0.8533972501754761
748,global,th,0.8708789944648743
748,water,th,0.8950217962265015
749,earth,ru,0.7521522641181946
749,fire,ru,0.751192033290863
749,global,ru,0.7678729295730591
749,water,ru,0.778667688369751
752,earth,en,0.9399963617324829
752,fire,en,0.9183389544487
752,global,en,0.9697128534317017
752,water,en,0.9433393478393555
753,earth,zh,0.797806441783905
753,fire,zh,0.9234979748725891
753,global,zh,0.9152839779853821
753,water,zh,0.795150876045227
758,earth,ru,0.848919689655304
758,fire,ru,0.8803611993789673
758,global,ru,0.9268608093261719
758,water,ru,0.8485244512557983
764,earth,en,0.9481198191642761
764,fire,en,0.885021984577179
764,global,en,0.8715446591377258
764,water,en,0.8104643821716309
765,earth,de,0.8051398396492004
765,fire,de,0.689358115196228
765,global,de,0.8464143872261047
765,water,de,0.7508793473243713
781,earth,en,0.8928121328353882
781,fire,en,1.0
781,global,en,1.0
781,water,en,0.8949546813964844
790,earth,en,0.8946627378463745
790,fire,en,0.9873160123825073
790,global,en,0.9630654454231262
790,water,en,0.9450047612190247
793,earth,ru,0.8842859268188477
793,fire,ru,0.8297771215438843
793,global,ru,0.7646084427833557
793,water,ru,0.9151211977005005
795,earth,zh,0.8451436758041382
795,fire,zh,0.8607333302497864
795,global,zh,0.9175249338150024
795,water,zh,0.8418716192245483
797,earth,ar,0.6426471471786499
797,earth,ru,0.7362238168716431
797,fire,ar,0.6525222659111023
797,fire,ru,0.7149075269699097
797,global,ar,0.6004428863525391
797,global,ru,0.7813094258308411
797,water,ar,0.5821783542633057
797,water,ru,0.7629419565200806
805,earth,ru,0.9212590456008911
805,fire,ru,0.8732118606567383
805,global,ru,0.8801418542861938
805,water,ru,0.9499470591545105
809,earth,ar,0.9130524396896362
809,fire,ar,0.8752177953720093
809,global,ar,0.9417651295661926
